Platz;Jahr;Titel;Interpret;Geschlecht;Deutsch ;Genre ;;
1;2018;In My Mind ;Dynoro und Gigi D'Agostino;0;0;1;;
2;2018;Perfect;Ed Sheeran ;0;0;0;;
3;2018;Was du Liebe nennst;Bausa;0;1;2;;
4;2018;One Kiss;Calvin Harris und Dua Lipa ;2;0;0;;
5;2018;Nevermind;Dennis Lloyd;0;0;0;;
6;2018;Bella Ciao (Hugel Remix);El Professor;0;0;1;;
7;2018;Je ne parle pas francais (Beatgees Remix);Namika feat. Black M;1;1;2;;
8;2018;Solo;Clean Bandit feat. Demi Lovato;2;0;1;;
9;2018;Friends ;Marshmello und Anne-Marie;2;0;0;;
10;2018;Echame la culpa ;Luis Fansi und Demi Lovato ;2;0;0;;
11;2018;Magisch;Olexesh feat. Edin ;0;1;2;;
12;2018;God's Plan;Drake ;0;0;2;;
13;2018;These Days ;Rudimental feat. Jess Glynne, Macklemore und Dan Caplen ;2;0;1;;
14;2018;Havana ;Camilla Cabello feat. Young Thug;2;0;0;;
15;2018;Neymar;Capital Bra feat. Ufo361;0;1;2;;
16;2018;500 PS;Monez MC und RAF Camora ;0;1;2;;
17;2018;River;Eminem feat. Ed Sheeran ;0;0;2;;
18;2018;Casanova ;Summer Cem und Bausa ;0;1;2;;
19;2018;Rooftop;Nico Santos ;0;0;0;;
20;2018;Body ;Loud Luxury feat. Brando ;0;0;1;;
21;2018;Rockstar;Post Malone feat. 21 Savage ;0;0;2;;
22;2018;Flames;David Guetta und Sia;2;0;0;;
23;2018;Leave a light on ;Tom Walker ;0;0;0;;
24;2018;Melodien ;Capital Bra feat. Juju;2;1;2;;
25;2018;Girls Like You ;Maroon 5 feat. Cardi B;2;0;0;; 
26;2018;One Night Stand ;Capital Bra ;0;1;2;;
27;2018;Zusammen ;Die fantastischen Vier feat. Clueso ;0;1;0;;
28;2018;La cintura ;Alvaro Soler ;0;0;0;;
29;2018;Rise;Jonas Blue feat. Jack und Jack ;0;0;1;;
30;2018;Barking ;Ramz;0;0;2;;
31;2018;Sick Boy ;The Chainsmokers ;0;0;0;;
32;2018;Leiser ;LEA ;1;1;0;;
33;2018;So Far Away;Martin Garrix und David Guetta feat. Jamie Scott und Ramy Dya;2;0;0;;
34;2018;Shape Of You ;Es Sheeran ;0;0;0;;
35;2018;Better Now;Post Malone  ;0;0;2;;
36;2018;Tip Toe ;Jason Derulo feat. French Montana ;0;0;0;;
37;2018;For You (Fifty Shades Freed);Liam Payne und Rita Ora ;2;0;0;;
38;2018;Promises ;Calvin Harris und Sam Smith ;0;0;1;;
39;2018;Say Something ;Justin Timberlake und Chris Stapelton ;0;0;0;;
40;2018;I Like It ;Cardi B, Bab Bunny und J Balvin ;2;0;2;;
41;2018;Him and I ;G-Eazy und Halsey ;2;0;2;;
42;2018;Crazy ;Lost Frequencies und Zonderling ;0;0;1;;
43;2018;Tamam Tamam ;Summer Cem  ;0;1;2;;
44;2018;X;Nicky Jam x J Balvin ;0;0;1;;
45;2018;Breathe ;Jax Jones feat. Ina Wroldsen ;2;0;1;;
46;2018;Katchi ;Ofenbach vs. Nick Waterhouse ;0;0;0;;
47;2018;Despacito;Luis Fonsi feat. Daddy Yankee;0;0;0;;
48;2018;IDGAF;Dua Lipa ;1;0;0;;
49;2018;The Middle ;Zedd, Maren Morris, Grey;2;0;0;;
50;2018;Dior 2011;Rin ;0;1;2;;
51;2018;Qa bone ;Azet feat. RAF Camora ;0;1;2;;
52;2018;Kokain ;Bonez MC und RAF Camora feat. Gzuz;0;1;2;;
53;2018;Blah Blah Blah ;Armin van Buuren ;0;0;1;;
54;2018;High Hopes ;Panic! At the Disco ;0;0;0;;
55;2018;5 Songs in einer Nacht ;Capital Bra ;0;1;2;;
56;2018;Friends ;Justin Bieber und BloodPop;0;0;0;;
57;2018;Eastside ;Benny Blanco, Halsey und Khalid;2;0;0;;
58;2018;In my Feelings ;Drake ;0;0;2;;
59;2018;Senorita ;Kay One feat. Pietro Lombardi ;0;1;2;;
60;2018;Unforgettable ;Robin Schulz und Marc Scibilia;0;0;1;;
61;2018;No Tears Left To Cry ;Ariana Grande ;1;0;0;;
