Platz;Jahr;Titel;Interpret;Geschlecht ;Sprache;Genre 
1;2018;In My Mind ;Dynoro und Gigi D'Agostino;Männlich;Englisch ;Electronic/ Dance 
2;2018;Perfect;Ed Sheeran ;Männlich;Englisch ;Pop
3;2018;Was du Liebe nennst;Bausa;Männlich;Deutsch ;HipHop/ Rap
4;2018;One Kiss;Calvin Harris und Dua Lipa ;Gemischt;Englisch ;Pop
5;2018;Nevermind;Dennis Lloyd;Männlich;Englisch ;Pop
6;2018;Bella Ciao (Hugel Remix);El Professor;Männlich;Italienisch ;Electronic/Dance 
7;2018;Je ne parle pas francais (Beatgees Remix);Namika feat. Black M;Weiblich;Deutsch ;HipHop/ Rap
8;2018;Solo;Clean Bandit feat. Demi Lovato;Gemischt;Englisch ;Electronic/ Dance 
9;2018;Friends ;Marshmello und Anne-Marie;Gemischt;Englisch ;Pop
10;2018;Echame la culpa ;Luis Fansi und Demi Lovato ;Gemischt;Spanisch ;Pop
11;2018;Magisch;Olexesh feat. Edin ;Männlich;Deutsch ;HipHop/ Rap
12;2018;God's Plan;Drake ;Männlich;Englisch ;HipHop/ Rap
13;2018;These Days ;Rudimental feat. Jess Glynne, Macklemore und Dan Caplen ;Gemischt;Englisch ;Electronic/Dance 
14;2018;Havana ;Camilla Cabello feat. Young Thug;Gemischt;Englisch ;Pop
15;2018;Neymar;Capital Bra feat. Ufo361;Männlich;Deutsch ;HipHop/ Rap
16;2018;500 PS;Monez MC und RAF Camora ;Männlich;Deutsch ;HipHop/ Rap
17;2018;River;Eminem feat. Ed Sheeran ;Männlich;Englisch ;HipHop/ Rap
18;2018;Casanova ;Summer Cem und Bausa ;Männlich;Deutsch ;HipHop/ Rap
19;2018;Rooftop;Nico Santos ;Männlich;Englisch ;Pop
20;2018;Body ;Loud Luxury feat. Brando ;Männlich;Englisch ;Electronic/ Dance 
21;2018;Rockstar;Post Malone feat. 21 Savage ;Männlich;Englisch ;HipHop/ Rap
22;2018;Flames;David Guetta und Sia;Gemischt;Englisch ;Pop
23;2018;Leave a light on ;Tom Walker ;Männlich;Englisch ;Pop
24;2018;Melodien ;Capital Bra feat. Juju;Gemischt;Deutsch ;HipHop/ Rap
25;2018;Girls Like You ;Maroon 5 feat. Cardi B;Gemischt;Englisch ;Pop
26;2018;One Night Stand ;Capital Bra ;Männlich;Deutsch ;HipHop/ Rap
27;2018;Zusammen ;Die fantastischen Vier feat. Clueso ;Männlich;Deutsch ;Pop
28;2018;La cintura ;Alvaro Soler ;Männlich;Spanisch ;Pop
29;2018;Rise;Jonas Blue feat. Jack und Jack ;Männlich;Englisch ;Electronic/ Dance 
30;2018;Barking ;Ramz;Männlich;Englisch ;HipHop/ Rap
31;2018;Sick Boy ;The Chainsmokers ;Männlich;Englisch ;Pop
32;2018;Leiser ;LEA ;Weiblich;Deutsch ;Pop
33;2018;So Far Away;Martin Garrix und David Guetta feat. Jamie Scott und Ramy Dya;Gemischt;Englisch ;Pop
34;2018;Shape Of You ;Es Sheeran ;Männlich;Englisch ;Pop
35;2018;Better Now;Post Malone  ;Männlich;Englisch ;HipHop/ Rap
36;2018;Tip Toe ;Jason Derulo feat. French Montana ;Männlich;Englisch ;Pop 
37;2018;For You (Fifty Shades Freed);Liam Payne und Rita Ora ;Gemischt;Englisch ;Pop
38;2018;Promises ;Calvin Harris und Sam Smith ;Männlich;Englisch ;Electronic/ Dance 
39;2018;Say Something ;Justin Timberlake und Chris Stapelton ;Männlich;Englisch ;Pop
40;2018;I Like It ;Cardi B, Bab Bunny und J Balvin ;Gemischt;Englisch ;HipHop/ Rap
41;2018;Him and I ;G-Eazy und Halsey ;Gemischt;Englisch ;HipHop/ Rap
42;2018;Crazy ;Lost Frequencies und Zonderling ;Männlich;Englisch ;Electronic/ Dance 
43;2018;Tamam Tamam ;Summer Cem  ;Männlich;Deutsch ;HipHop/ Rap
44;2018;X;Nicky Jam x J Balvin ;Männlich;Spanisch ;Electronic/ Dance 
45;2018;Breathe ;Jax Jones feat. Ina Wroldsen ;Gemischt;Englisch ;Electronic/ Dance 
46;2018;Katchi ;Ofenbach vs. Nick Waterhouse ;Männlich;Englisch ;R&B/ Soul 
47;2018;Despacito;Luis Fonsi feat. Daddy Yankee;Männlich;Spanisch ;Pop
48;2018;IDGAF;Dua Lipa ;Weiblich;Englisch ;Pop
49;2018;The Middle ;Zedd, Maren Morris, Grey;Gemischt;Englisch ;Pop
50;2018;Dior 2011;Rin ;Männlich;Deutsch ;HipHop/ Rap
51;2018;Qa bone ;Azet feat. RAF Camora ;Männlich;Deutsch ;HipHop/ Rap
52;2018;Kokain ;Bonez MC und RAF Camora feat. Gzuz;Männlich;Deutsch ;HipHop/ Rap
53;2018;Blah Blah Blah ;Armin van Buuren ;Männlich;Englisch ;Electronic/ Dance 
54;2018;High Hopes ;Panic! At the Disco ;Männlich;Englisch ;Indie 
55;2018;5 Songs in einer Nacht ;Capital Bra ;Männlich;Deutsch ;HipHop/ Rap
56;2018;Friends ;Justin Bieber und BloodPop;Männlich;Englisch ;Pop
57;2018;Eastside ;Benny Blanco, Halsey und Khalid;Gemischt;Englisch ;Pop
58;2018;In my Feelings ;Drake ;Männlich;Englisch ;HipHop/ Rap
59;2018;Senorita ;Kay One feat. Pietro Lombardi ;Männlich;Deutsch ;HipHop/ Rap
60;2018;Unforgettable ;Robin Schulz und Marc Scibilia;Männlich;Englisch ;Electronic/ Dance 
61;2018;No Tears Left To Cry ;Ariana Grande ;Weiblich;Englisch ;Pop 
62;2018;Mad Love ;Sean Paul und David Guetta feat. Becky G. ;Gemischt;Englisch ;Pop
63;2018;Change my Mind ;ELI;Männlich;Englisch ;Pop
64;2018;Let you down ;NF;Männlich;Englisch ;HipHop/ Rap
65;2018;Rimind me to forget;Kygo feat. Miguel ;Männlich;Englisch ;Electronic/ Dance 
66;2018;Shotgut ;George Ezra ;Männlich;Englisch ;Pop
67;2018;Is it Love?;Rea Garvey feat. Kool Savas;Männlich;Englisch ;Pop
68;2018;Anywhere ;Rita Ora ;Weiblich;Englisch ;Pop
69;2018;Facetime ;Dardan ;Männlich;Deutsch ;HipHop/ Rap
70;2018;Mercedes;Eno ;Männlich;Deutsch ;HipHop/ Rap
71;2018;Wolves ;Selene Gomez x Marshmello;Gemischt;Englisch ;Electronic/ Dance 
72;2018;Sad!;XXXTentacion;Männlich;Englisch ;HipHop/ Rap
73;2018;Copacabana;Leon Machere ;Männlich;Deutsch ;Pop
74;2018;Psycho ;Post Malone feat. Ty Dolla $ign ;Männlich;Englisch ;HipHop/ Rap
75;2018;Silence ;Marshmello feat. Khalid;Männlich;Englisch ;Electronic/ Dance 
76;2018;Feel It Still ;Portugal. The Man ;Männlich;Englisch ;Indie 
77;2018;Phänomenal ;Pietro Lombardi ;Männlich;Deutsch ;Pop
78;2018;Happier ;Marshmello und Bastille ;Männlich;Englisch ;Electronic/ Dance 
79;2018;Euch für alle ;Bushido feat. Samra und Capital Bra ;Männlich;Deutsch ;HipHop/ Rap
80;2018;Bonnie und Clyde;Loredana x Mozzik ;Gemischt;Deutsch ;HipHop/ Rap
81;2018;Risiko ;Bonez MC und RAF Camora  ;Männlich;Deutsch ;HipHop/ Rap
82;2018;More Than You Know ;Axwell und Ingrosso ;Männlich;Englisch ;Electronic/ Dance 
83;2018;Paradise ;George Ezra ;Männlich;Englisch ;Pop
84;2018;Be Alright ;Dean Lewis ;Männlich;Englisch ;Pop
85;2018;More Than Friends ;James Hype feat. Kelli-Leigh ;Gemischt;Englisch ;Electronic/ Dance 
86;2018;Whatever It Takes ;Imagine Dragons ;Männlich;Englisch ;Pop
87;2018;Born To Be Yours ;Kygo und Imagine Dragons ;Männlich;Englisch ;Electronic/ Dance 
88;2018;Berlin lebt ;Capital Bra ;Männlich;Deutsch ;HipHop/ Rap
89;2018;In My Blood;Shawn Mendes ;Männlich;Englisch ;Pop
90;2018;Mi gente ;J Balvin und Willy William ;Männlich;Spanisch ;Reggeaton 
91;2018;Dusk Till Dawn ;Zayn feat. Sia ;Gemischt;Englisch ;Pop
